1,Apple Inc.,AAPL,4.493789
2,Microsoft Corporation,MSFT,3.493866
3,Amazon.com Inc.,AMZN,3.275594
4,Facebook Inc. Class A,FB,1.730736
5,Berkshire Hathaway Inc. Class B,BRK.B,1.639855
6,JPMorgan Chase & Co.,JPM,1.593161
7,Alphabet Inc. Class C,GOOG,1.527995
8,Alphabet Inc. Class A,GOOGL,1.521767
9,Johnson & Johnson,JNJ,1.470247
10,Exxon Mobil Corporation,XOM,1.384583
11,Bank of America Corp,BAC,1.187885
12,Visa Inc. Class A,V,1.064705
13,UnitedHealth Group Incorporated,UNH,1.047714
14,Wells Fargo & Company,WFC,1.041414
15,Pfizer Inc.,PFE,0.986192
16,AT&T Inc.,T,0.942724
17,Home Depot Inc.,HD,0.933744
18,Chevron Corporation,CVX,0.929975
19,Verizon Communications Inc.,VZ,0.918891
20,Intel Corporation,INTC,0.913065
21,Cisco Systems Inc.,CSCO,0.900853
22,Procter & Gamble Company,PG,0.851987
23,Mastercard Incorporated Class A,MA,0.796378
24,Boeing Company,BA,0.771715
25,Merck & Co. Inc.,MRK,0.749000
26,Citigroup Inc.,C,0.740202
27,Coca-Cola Company,KO,0.699262
28,NVIDIA Corporation,NVDA,0.684948
29,Comcast Corporation Class A,CMCSA,0.684248
30,Walt Disney Company,DIS,0.675947
31,DowDuPont Inc.,DWDP,0.661810
32,Netflix Inc.,NFLX,0.655015
33,PepsiCo Inc.,PEP,0.644811
34,AbbVie Inc.,ABBV,0.596039
35,Oracle Corporation,ORCL,0.585701
36,Walmart Inc.,WMT,0.564198
37,Amgen Inc.,AMGN,0.541942
38,Adobe Systems Incorporated,ADBE,0.532925
39,Medtronic plc,MDT,0.532526
40,McDonald's Corporation,MCD,0.519278
41,3M Company,MMM,0.506683
42,International Business Machines Corporation,IBM,0.505636
43,Philip Morris International Inc.,PM,0.496108
44,Honeywell International Inc.,HON,0.485036
45,Abbott Laboratories,ABT,0.477251
46,Union Pacific Corporation,UNP,0.471724
47,Altria Group Inc,MO,0.451137
48,General Electric Company,GE,0.450516
49,Texas Instruments Incorporated,TXN,0.448049
50,Accenture Plc Class A,ACN,0.440366
51,salesforce.com inc.,CRM,0.435820
52,NIKE Inc. Class B,NKE,0.424147
53,PayPal Holdings Inc,PYPL,0.417537
54,Costco Wholesale Corporation,COST,0.411240
55,QUALCOMM Incorporated,QCOM,0.410353
56,Eli Lilly and Company,LLY,0.409267
57,Gilead Sciences Inc.,GILD,0.404174
58,Bristol-Myers Squibb Company,BMY,0.402939
59,United Technologies Corporation,UTX,0.400722
60,Thermo Fisher Scientific Inc.,TMO,0.390856
61,Booking Holdings Inc.,BKNG,0.380539
62,Schlumberger NV,SLB,0.361994
63,Lowe's Companies Inc.,LOW,0.360229
64,Broadcom Inc.,AVGO,0.353243
65,ConocoPhillips,COP,0.349486
66,United Parcel Service Inc. Class B,UPS,0.344090
67,U.S. Bancorp,USB,0.343851
68,Goldman Sachs Group Inc.,GS,0.342018
69,Caterpillar Inc.,CAT,0.337713
70,NextEra Energy Inc.,NEE,0.327129
71,Lockheed Martin Corporation,LMT,0.324747
72,American Express Company,AXP,0.308902
73,CVS Health Corporation,CVS,0.307772
74,Biogen Inc.,BIIB,0.301791
75,Starbucks Corporation,SBUX,0.297690
76,Becton Dickinson and Company,BDX,0.282538
77,EOG Resources Inc.,EOG,0.279592
78,TJX Companies Inc,TJX,0.277552
79,Anthem Inc.,ANTM,0.274695
80,PNC Financial Services Group Inc.,PNC,0.274228
81,Morgan Stanley,MS,0.272990
82,Celgene Corporation,CELG,0.270749
83,American Tower Corporation,AMT,0.267188
84,Aetna Inc.,AET,0.265166
85,CSX Corporation,CSX,0.263886
86,Allergan plc,AGN,0.262876
87,Automatic Data Processing Inc.,ADP,0.260354
88,Danaher Corporation,DHR,0.257213
89,Chubb Limited,CB,0.255707
90,Intuitive Surgical Inc.,ISRG,0.255460
91,Mondelez International Inc. Class A,MDLZ,0.254300
92,Occidental Petroleum Corporation,OXY,0.249254
93,Micron Technology Inc.,MU,0.248543
94,Charles Schwab Corporation,SCHW,0.246609
95,FedEx Corporation,FDX,0.246382
96,CME Group Inc. Class A,CME,0.239713
97,BlackRock Inc.,BLK,0.237999
